Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Main Actors
tt5645432,6,2023-02-06,The Old Man,The Old Man,https://www.imdb.com/title/tt5645432,Serie TV,7.5,61,2022,"Drammatico, Azione, Thriller",61759,2022-09-28,,"Jeff Bridges, John Lithgow, Alia Shawkat"
tt0119217,7,2023-02-06,Will Hunting - Genio ribelle,Good Will Hunting,https://www.imdb.com/title/tt0119217,Film,8.3,126,1997,"Sentimentale, Drammatico",1179064,1998-03-06,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck"
tt9764362,6,2023-01-25,The Menu,The Menu,https://www.imdb.com/title/tt9764362,Film,7.2,107,2022,"Horror, Thriller, Commedia",480119,2022-11-17,Mark Mylod,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult"
tt0062080,7,2023-01-23,Operazione San Gennaro,Operazione San Gennaro,https://www.imdb.com/title/tt0062080,Film,6.9,104,1966,"Poliziesco, Commedia",1998,1966-11-25,Dino Risi,"Nino Manfredi, Senta Berger, Mario Adorf"
tt1860357,7,2023-01-10,Deepwater: Inferno sull'oceano,Deepwater Horizon,https://www.imdb.com/title/tt1860357,Film,7.1,107,2016,"Drammatico, Thriller, Azione, Storico",195753,2016-10-06,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin"
tt0107290,7,2023-01-08,Jurassic Park,Jurassic Park,https://www.imdb.com/title/tt0107290,Film,8.2,127,1993,"Thriller, Azione, Fantascienza, Avventura",1153539,1993-09-17,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
tt14138650,6,2023-01-08,The Pale Blue Eye - I delitti di West Point,The Pale Blue Eye,https://www.imdb.com/title/tt14138650,Film,6.6,128,2022,"Poliziesco, Giallo, Horror, Thriller",137551,2023-01-06,Scott Cooper,"Christian Bale, Harry Melling, Simon McBurney"
tt14208870,8,2023-01-07,The Fabelmans,The Fabelmans,https://www.imdb.com/title/tt14208870,Film,7.5,151,2022,Drammatico,131583,2022-12-22,Steven Spielberg,
tt3393786,6,2023-01-05,Jack Reacher: Punto di non ritorno,Jack Reacher: Never Go Back,https://www.imdb.com/title/tt3393786,Film,6.2,118,2016,"Azione, Thriller",189881,2016-10-20,Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge"
tt11564570,6,2022-12-28,Glass Onion - Knives Out,Glass Onion: A Knives Out Mystery,https://www.imdb.com/title/tt11564570,Film,7.1,139,2022,"Poliziesco, Thriller, Drammatico, Giallo, Commedia",491390,2022-12-23,Rian Johnson,"Daniel Craig, Edward Norton, Kate Hudson"
tt0417741,6,2022-12-25,Harry Potter e il principe mezzosangue,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741,Film,7.6,153,2009,"Azione, Fantastico, Giallo, Per famiglie, Avventura",644480,2009-07-15,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
tt0926084,6,2022-12-25,Harry Potter e i Doni della Morte - Parte 1,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084,Film,7.7,146,2010,"Avventura, Giallo, Fantastico, Per famiglie",648531,2010-11-19,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
tt5727282,6,2022-12-17,Borg McEnroe,Borg,https://www.imdb.com/title/tt5727282,Film,6.9,107,2017,"Drammatico, Sportivo, Biografico",35846,2017-11-09,Janus Metz,"Sverrir Gudnason, Shia LaBeouf, Stellan Skarsgård"
tt13640696,6,2022-12-04,Omicidio nel West End,See How They Run,https://www.imdb.com/title/tt13640696,Film,6.5,98,2022,"Giallo, Commedia, Poliziesco",72118,2022-09-29,Tom George,"Kieran Hodgson, Pearl Chanda, Gregory Cox"
tt0037515,8,2022-11-24,Dieci piccoli indiani,And Then There Were None,https://www.imdb.com/title/tt0037515,Film,7.3,97,1945,"Drammatico, Thriller, Poliziesco, Giallo",18128,1945-10-31,René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward"
tt0373889,6,2022-11-21,Harry Potter e l'Ordine della Fenice,Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889,Film,7.5,138,2007,"Azione, Per famiglie, Fantastico, Giallo, Avventura",683889,2007-07-11,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
tt4669788,6,2022-11-20,Una giusta causa,On the Basis of Sex,https://www.imdb.com/title/tt4669788,Film,7.1,120,2018,"Drammatico, Biografico, Storico",41703,2019-03-28,Mimi Leder,"Felicity Jones, Armie Hammer, Justin Theroux"
tt10857160,4,2022-11-17,She Hulk: Attorney at Law,She-Hulk: Attorney at Law,https://www.imdb.com/title/tt10857160,Mini serie TV,5.2,35,2022,"Azione, Avventura, Commedia, Fantascienza",205651,2022-08-18,,"Tatiana Maslany, Ginger Gonzaga, Malia Arrayah"
tt0330373,7,2022-11-17,Harry Potter e il calice di fuoco,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373,Film,7.7,157,2005,"Giallo, Per famiglie, Avventura, Fantastico",735811,2005-11-25,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint"
tt0304141,7,2022-11-17,Harry Potter e il prigioniero di Azkaban,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141,Film,7.9,142,2004,"Giallo, Per famiglie, Avventura, Fantastico",749304,2004-06-04,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint"
tt0295297,6,2022-11-17,Harry Potter e la camera dei segreti,Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297,Film,7.5,161,2002,"Giallo, Per famiglie, Avventura, Fantastico",749022,2002-12-06,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
tt0164334,5,2022-11-15,Nella morsa del ragno,Along Came a Spider,https://www.imdb.com/title/tt0164334,Film,6.4,104,2001,"Poliziesco, Drammatico, Giallo, Thriller",102187,2001-10-26,Lee Tamahori,"Morgan Freeman, Michael Wincott, Monica Potter"
tt1825683,6,2022-11-06,Black Panther,Black Panther,https://www.imdb.com/title/tt1825683,Film,7.3,134,2018,"Azione, Avventura, Fantascienza",894795,2018-02-14,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o"
tt0241527,7,2022-10-31,Harry Potter e la pietra filosofale,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527,Film,7.7,152,2001,"Per famiglie, Avventura, Fantastico",928520,2001-12-06,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
tt17374778,6,2022-10-31,La stranezza,La stranezza,https://www.imdb.com/title/tt17374778,Film,6.7,103,2022,"Commedia, Drammatico",2041,2022-10-27,Roberto Andò,"Toni Servillo, Salvatore Ficarra, Valentino Picone"
tt14452776,9,2022-10-21,The Bear,The Bear,https://www.imdb.com/title/tt14452776,Serie TV,8.5,30,2022,"Drammatico, Commedia",297261,2022-10-05,,"Jeremy Allen White, Ebon Moss-Bachrach, Ayo Edebiri"
tt21837726,6,2022-10-18,The Redeem Team: le Olimpiadi della riscossa,The Redeem Team,https://www.imdb.com/title/tt21837726,Film,7.4,97,2022,"Documentario, Storico, Sportivo",12175,2022-10-07,Jon Weinbach,"LeBron James, Dwyane Wade, Carmelo Anthony"
tt11214590,5,2022-10-18,House of Gucci,House of Gucci,https://www.imdb.com/title/tt11214590,Film,6.6,158,2021,"Drammatico, Poliziesco, Biografico",172031,2021-12-16,Ridley Scott,"Lady Gaga, Adam Driver, Al Pacino"
tt13806164,5,2022-10-03,Siccità,Siccità,https://www.imdb.com/title/tt13806164,Film,6.2,124,2022,"Commedia, Drammatico",2432,2022-09-29,Paolo Virzì,"Silvio Orlando, Valerio Mastandrea, Elena Lietti"
tt14575898,6,2022-09-27,Il signore delle formiche,Il signore delle formiche,https://www.imdb.com/title/tt14575898,Film,6.7,134,2022,"Drammatico, Biografico",1477,2022-09-08,Gianni Amelio,"Luigi Lo Cascio, Elio Germano, Sara Serraiocco"
tt1942612,8,2022-09-12,Sherlock: A Scandal in Belgravia,Sherlock: A Scandal in Belgravia,https://www.imdb.com/title/tt1942612,Episodio TV,9.4,89,2012,"Poliziesco, Giallo, Drammatico, Thriller",45668,2012-10-06,Paul McGuigan,"Benedict Cumberbatch, Martin Freeman, Una Stubbs"
tt10648342,5,2022-09-11,Thor: Love and Thunder,Thor: Love and Thunder,https://www.imdb.com/title/tt10648342,Film,6.1,118,2022,"Avventura, Sentimentale, Fantascienza, Commedia, Azione",448931,2022-07-06,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale"
tt10857164,5,2022-08-23,Ms. Marvel,Ms. Marvel,https://www.imdb.com/title/tt10857164,Mini serie TV,6.2,50,2022,"Azione, Avventura, Commedia, Poliziesco, Fantastico, Giallo, Fantascienza, Per famiglie",129202,2022-06-08,,"Iman Vellani, Matt Lintz, Zenobia Shroff"
tt1345836,8,2022-08-23,Il cavaliere oscuro - Il ritorno,The Dark Knight Rises,https://www.imdb.com/title/tt1345836,Film,8.4,164,2012,"Azione, Drammatico, Thriller, Poliziesco",1958713,2012-08-29,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
tt0468569,8,2022-08-23,Il cavaliere oscuro,The Dark Knight,https://www.imdb.com/title/tt0468569,Film,9.1,152,2008,"Drammatico, Poliziesco, Thriller, Azione",3103651,2008-07-23,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
tt1649418,6,2022-08-20,The Gray Man,The Gray Man,https://www.imdb.com/title/tt1649418,Film,6.5,122,2022,"Thriller, Giallo, Azione",266307,2022-07-13,"Joe Russo,Anthony Russo","Ryan Gosling, Chris Evans, Ana de Armas"
tt0120601,5,2022-08-15,Essere John Malkovich,Being John Malkovich,https://www.imdb.com/title/tt0120601,Film,7.7,113,1999,"Drammatico, Commedia, Fantastico",366539,1999-12-03,Spike Jonze,"John Cusack, Cameron Diaz, Catherine Keener"
tt0372784,7,2022-08-08,Batman Begins,Batman Begins,https://www.imdb.com/title/tt0372784,Film,8.2,140,2005,"Azione, Poliziesco, Drammatico, Thriller",1683436,2005-06-17,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe"
tt0047238,6,2022-08-06,Miseria e nobiltà,Miseria e nobiltà,https://www.imdb.com/title/tt0047238,Film,7.6,94,1954,Commedia,2232,1955-02-16,Mario Mattoli,"Totò, Sophia Loren, Enzo Turco"
tt0061132,6,2022-07-31,Uccellacci e uccellini,Uccellacci e uccellini,https://www.imdb.com/title/tt0061132,Film,7.2,89,1966,"Drammatico, Fantastico, Commedia",6134,1969-12-10,Pier Paolo Pasolini,"Totò, Ninetto Davoli, Femi Benussi"
tt0120663,7,2022-07-26,Eyes Wide Shut,Eyes Wide Shut,https://www.imdb.com/title/tt0120663,Film,7.5,159,1999,"Giallo, Drammatico, Thriller",412733,1999-10-01,Stanley Kubrick,"Tom Cruise, Nicole Kidman, Todd Field"
tt2381111,6,2022-07-26,Brooklyn,Brooklyn,https://www.imdb.com/title/tt2381111,Film,7.5,117,2015,"Drammatico, Sentimentale",157185,2016-03-17,John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson"
tt0131097,6,2022-07-22,Il vedovo,Il vedovo,https://www.imdb.com/title/tt0131097,Film,7.2,91,1959,Commedia,1638,1959-11-20,Dino Risi,"Alberto Sordi, Franca Valeri, Livio Lorenzon"
tt1877830,7,2022-07-17,The Batman,The Batman,https://www.imdb.com/title/tt1877830,Film,7.8,176,2022,"Azione, Poliziesco, Drammatico, Thriller, Giallo",904154,2022-03-03,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright"
tt8466564,7,2022-07-14,Obi-Wan Kenobi,Obi-Wan Kenobi,https://www.imdb.com/title/tt8466564,Mini serie TV,7.0,45,2022,"Fantascienza, Azione, Avventura",256472,2022-05-27,,"Ewan McGregor, Moses Ingram, Vivien Lyra Blair"
tt1726669,3,2022-07-10,Killer Joe,Killer Joe,https://www.imdb.com/title/tt1726669,Film,6.7,102,2011,"Thriller, Drammatico, Poliziesco",87056,2012-10-11,William Friedkin,"Matthew McConaughey, Emile Hirsch, Juno Temple"
tt3170832,7,2022-07-03,Room,Room,https://www.imdb.com/title/tt3170832,Film,8.1,118,2015,"Drammatico, Thriller",474997,2016-03-03,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers"
tt0245429,6,2022-06-26,La città incantata,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429,Film,8.6,124,2001,"Animazione, Per famiglie, Avventura, Fantastico",943693,2003-04-18,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
tt15010478,6,2022-06-18,11/9: Inside the President's War Room,9/11: Inside the President's War Room,https://www.imdb.com/title/tt15010478,Film,7.5,90,2021,"Documentario, Storico",4351,2021-09-11,Adam Wishart,"Richard Keil, George W. Bush, Andrew Card"
tt2304589,7,2022-06-18,In difesa di Jacob,Defending Jacob,https://www.imdb.com/title/tt2304589,Mini serie TV,7.8,50,2020,"Giallo, Thriller, Drammatico, Poliziesco",77657,2020-04-24,,"Chris Evans, Michelle Dockery, Jaeden Martell"
tt1745960,7,2022-06-07,Top Gun: Maverick,Top Gun: Maverick,https://www.imdb.com/title/tt1745960,Film,8.2,130,2022,"Azione, Drammatico",815676,2022-05-25,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
tt1327773,6,2022-06-07,The Butler - Un maggiordomo alla Casa Bianca,The Butler,https://www.imdb.com/title/tt1327773,Film,7.2,132,2013,"Drammatico, Biografico",122835,2014-01-01,Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack"
tt8332922,6,2022-05-26,A Quiet Place II,A Quiet Place Part II,https://www.imdb.com/title/tt8332922,Film,7.2,97,2020,"Drammatico, Thriller, Fantascienza, Horror",314453,2021-06-24,John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy"
tt6644200,8,2022-05-24,A Quiet Place - Un posto tranquillo,A Quiet Place,https://www.imdb.com/title/tt6644200,Film,7.5,90,2018,"Drammatico, Horror, Fantascienza",645190,2018-04-05,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds"
tt7740496,7,2022-05-24,La fiera delle illusioni - Nightmare Alley,Nightmare Alley,https://www.imdb.com/title/tt7740496,Film,7.0,150,2021,"Drammatico, Thriller, Poliziesco",179523,2022-01-27,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette"
tt8236336,6,2022-05-22,The Report,The Report,https://www.imdb.com/title/tt8236336,Film,7.2,119,2019,"Drammatico, Thriller, Biografico, Storico, Poliziesco",55506,2019-11-18,Scott Z. Burns,"Adam Driver, Annette Bening, Jon Hamm"
tt2381249,5,2022-05-16,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249,Film,7.4,131,2015,"Azione, Avventura, Thriller",440300,2015-08-19,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner"
tt1073241,5,2022-05-09,Una sola verità,Nothing But the Truth,https://www.imdb.com/title/tt1073241,Film,7.1,108,2008,"Drammatico, Poliziesco, Thriller, Giallo",41297,2015-08-05,Rod Lurie,"Kate Beckinsale, Matt Dillon, Vera Farmiga"
tt3775086,7,2022-04-28,Lo chiamavano Jeeg Robot,Lo chiamavano Jeeg Robot,https://www.imdb.com/title/tt3775086,Film,7.0,112,2015,"Azione, Fantascienza, Drammatico, Commedia",17263,2016-02-25,Gabriele Mainetti,"Claudio Santamaria, Luca Marinelli, Ilenia Pastorelli"
tt7270808,7,2022-04-27,Freaks Out,Freaks Out,https://www.imdb.com/title/tt7270808,Film,6.9,141,2021,"Fantastico, Guerra, Avventura, Drammatico",8064,2021-10-28,Gabriele Mainetti,"Claudio Santamaria, Aurora Giovinazzo, Pietro Castellitto"
tt2872718,6,2022-04-27,Lo sciacallo - Nightcrawler,Nightcrawler,https://www.imdb.com/title/tt2872718,Film,7.8,117,2014,"Poliziesco, Thriller, Drammatico",653803,2014-11-13,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton"
tt7657566,6,2022-04-27,Assassinio sul Nilo,Death on the Nile,https://www.imdb.com/title/tt7657566,Film,6.3,127,2022,"Drammatico, Poliziesco, Giallo",205934,2022-02-10,Kenneth Branagh,"Tom Bateman, Annette Bening, Kenneth Branagh"
tt1124035,7,2022-04-23,Le idi di marzo,The Ides of March,https://www.imdb.com/title/tt1124035,Film,7.1,101,2011,"Drammatico, Thriller",237288,2011-12-16,George Clooney,"Paul Giamatti, George Clooney, Philip Seymour Hoffman"
tt5516154,7,2022-04-21,Godless,Godless,https://www.imdb.com/title/tt5516154,Mini serie TV,8.2,65,2017,"Western, Drammatico, Azione",89012,2017-11-22,,"Jack O'Connell, Michelle Dockery, Scoot McNairy"
tt14350234,7,2022-04-21,Le fate ignoranti,Le fate ignoranti,https://www.imdb.com/title/tt14350234,Serie TV,7.4,50,2022,"Drammatico, Sentimentale",1468,2022-04-13,,"Burak Deniz, Mark Lewis, Edoardo Purgatori"
tt1568346,8,2022-04-19,Millennium - Uomini che odiano le donne,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346,Film,7.8,158,2011,"Drammatico, Thriller, Poliziesco, Giallo",521967,2012-02-03,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer"
tt13668894,6,2022-04-19,The Book of Boba Fett,The Book of Boba Fett,https://www.imdb.com/title/tt13668894,Mini serie TV,7.1,50,2021,"Azione, Avventura, Fantascienza",205031,2021-12-29,,"Temuera Morrison, Ming-Na Wen, Frank Trigg"
tt11271038,6,2022-04-19,Licorice Pizza,Licorice Pizza,https://www.imdb.com/title/tt11271038,Film,7.1,133,2021,"Drammatico, Commedia, Sentimentale",155399,2022-03-17,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn"
tt0109579,6,2022-04-09,La morte e la fanciulla,Death and the Maiden,https://www.imdb.com/title/tt0109579,Film,7.2,103,1994,"Giallo, Drammatico, Thriller",28577,1995-04-06,Roman Polanski,"Sigourney Weaver, Ben Kingsley, Stuart Wilson"
tt0362227,7,2022-04-09,The Terminal,The Terminal,https://www.imdb.com/title/tt0362227,Film,7.4,128,2004,"Drammatico, Commedia, Sentimentale",526172,2004-09-03,Steven Spielberg,"Tom Hanks, Catherine Zeta-Jones, Chi McBride"
tt12536294,5,2022-04-01,Spencer,Spencer,https://www.imdb.com/title/tt12536294,Film,6.5,117,2021,"Drammatico, Biografico",80988,2022-03-24,Pablo Larraín,"Kristen Stewart, Timothy Spall, Sally Hawkins"
tt0104036,7,2022-03-23,La moglie del soldato,The Crying Game,https://www.imdb.com/title/tt0104036,Film,7.2,112,1992,"Thriller, Drammatico, Poliziesco, Sentimentale",62736,1993-02-11,Neil Jordan,"Stephen Rea, Jaye Davidson, Forest Whitaker"
tt13313408,6,2022-03-21,Marilyn ha gli occhi neri,Marilyn ha gli occhi neri,https://www.imdb.com/title/tt13313408,Film,6.6,114,2021,"Commedia, Drammatico",2035,2021-10-14,Simone Godano,"Stefano Accorsi, Miriam Leone, Thomas Trabacchi"
tt9174558,7,2022-03-11,Dopesick - Dichiarazione di dipendenza,Dopesick,https://www.imdb.com/title/tt9174558,Mini serie TV,8.6,60,2021,Drammatico,89853,2021-11-11,,"Michael Keaton, Peter Sarsgaard, Michael Stuhlbarg"
tt4846340,8,2022-03-11,Il diritto di contare,Hidden Figures,https://www.imdb.com/title/tt4846340,Film,7.8,127,2016,"Drammatico, Storico, Biografico",282402,2017-03-08,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe"
tt8847712,6,2022-03-09,"The French Dispatch of the Liberty, Kansas Evening Sun","The French Dispatch of the Liberty, Kansas Evening Sun",https://www.imdb.com/title/tt8847712,Film,7.1,107,2021,"Commedia, Drammatico, Sentimentale",163642,2021-11-11,Wes Anderson,"Benicio Del Toro, Adrien Brody, Tilda Swinton"
tt0947798,7,2022-03-01,Il cigno nero,Black Swan,https://www.imdb.com/title/tt0947798,Film,8.0,108,2010,"Drammatico, Thriller",875614,2011-02-18,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel"
tt1219289,5,2022-02-25,Limitless,Limitless,https://www.imdb.com/title/tt1219289,Film,7.4,105,2011,"Thriller, Fantascienza",639081,2011-04-15,Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish"
tt0073629,6,2022-02-15,The Rocky Horror Picture Show,The Rocky Horror Picture Show,https://www.imdb.com/title/tt0073629,Film,7.4,100,1975,"Musical, Horror, Commedia",180750,1976-08-19,Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick"
tt3480822,6,2022-02-01,Black Widow,Black Widow,https://www.imdb.com/title/tt3480822,Film,6.6,134,2021,"Azione, Avventura, Fantascienza",467352,2021-07-07,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour"
tt10155688,6,2022-01-27,Omicidio a Easttown,Mare of Easttown,https://www.imdb.com/title/tt10155688,Mini serie TV,8.4,60,2021,"Drammatico, Poliziesco, Giallo",214613,2021-06-09,,"Kate Winslet, Julianne Nicholson, Jean Smart"
tt9140560,7,2022-01-27,WandaVision,WandaVision,https://www.imdb.com/title/tt9140560,Mini serie TV,7.9,40,2021,"Azione, Fantascienza, Fantastico, Commedia, Giallo",407626,2021-01-15,,"Elizabeth Olsen, Paul Bettany, Kathryn Hahn"
tt9140554,7,2022-01-27,Loki,Loki,https://www.imdb.com/title/tt9140554,Serie TV,8.2,50,2021,"Fantastico, Fantascienza, Azione, Avventura",460371,2021-06-09,,"Tom Hiddleston, Owen Wilson, Sophia Di Martino"
tt8111088,8,2022-01-27,The Mandalorian,The Mandalorian,https://www.imdb.com/title/tt8111088,Serie TV,8.6,40,2019,"Fantascienza, Azione, Avventura, Fantastico",641298,2020-03-24,,"Pedro Pascal, Chris Bartlett, Katee Sackhoff"
tt10160804,6,2022-01-27,Hawkeye,Hawkeye,https://www.imdb.com/title/tt10160804,Mini serie TV,7.4,60,2021,"Azione, Avventura, Poliziesco, Giallo, Fantascienza, Drammatico",237834,2021-11-24,,"Jeremy Renner, Hailee Steinfeld, Florence Pugh"
tt13932304,4,2022-01-27,America Latina,America Latina,https://www.imdb.com/title/tt13932304,Film,5.9,90,2021,"Thriller, Drammatico, Giallo",2196,2022-01-13,"Damiano D'Innocenzo,Fabio D'Innocenzo","Elio Germano, Astrid Casali, Sara Ciocca"
tt8544498,6,2022-01-27,Tornare a vincere,The Way Back,https://www.imdb.com/title/tt8544498,Film,6.7,108,2020,"Drammatico, Sportivo",55756,2020-04-23,Gavin O'Connor,"Ben Affleck, Al Madrigal, Janina Gavankar"
tt0117571,6,2022-01-27,Scream,Scream,https://www.imdb.com/title/tt0117571,Film,7.4,111,1996,"Giallo, Horror",433743,1997-09-11,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette"
tt0099487,7,2022-01-17,Edward mani di forbice,Edward Scissorhands,https://www.imdb.com/title/tt0099487,Film,7.8,105,1990,"Drammatico, Sentimentale, Fantastico",557365,1991-04-25,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest"
tt0993846,7,2022-01-10,The Wolf of Wall Street,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846,Film,8.2,180,2013,"Poliziesco, Drammatico, Biografico, Commedia",1739368,2014-01-23,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
tt6892400,6,2022-01-06,La ragazza nella nebbia,La ragazza nella nebbia,https://www.imdb.com/title/tt6892400,Film,6.8,128,2017,"Thriller, Poliziesco, Giallo, Drammatico",14401,2017-10-26,Donato Carrisi,"Toni Servillo, Alessio Boni, Lorenzo Richelmy"
tt13066182,6,2022-01-04,Il capo perfetto,El buen patrón,https://www.imdb.com/title/tt13066182,Film,7.1,116,2021,"Commedia, Drammatico",16150,2021-12-23,Fernando León de Aranoa,"Javier Bardem, Manolo Solo, Almudena Amor"
tt4622512,7,2022-01-03,La battaglia dei sessi,Battle of the Sexes,https://www.imdb.com/title/tt4622512,Film,6.7,121,2017,"Commedia, Biografico, Sportivo, Drammatico, Storico",62844,2017-10-19,"Jonathan Dayton,Valerie Faris","Emma Stone, Steve Carell, Andrea Riseborough"
tt0945513,6,2022-01-02,Source Code,Source Code,https://www.imdb.com/title/tt0945513,Film,7.5,93,2011,"Fantascienza, Thriller, Azione, Drammatico, Giallo",575694,2011-04-29,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga"
tt4857264,5,2022-01-01,Contrattempo,Contratiempo,https://www.imdb.com/title/tt4857264,Film,8.0,106,2016,"Thriller, Poliziesco, Giallo, Drammatico",208513,2017-07-01,Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado"
tt11286314,6,2022-01-01,Don't Look Up,Don't Look Up,https://www.imdb.com/title/tt11286314,Film,7.2,138,2021,"Commedia, Drammatico, Fantascienza",655808,2021-12-08,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep"
tt0449059,7,2021-12-29,Little Miss Sunshine,Little Miss Sunshine,https://www.imdb.com/title/tt0449059,Film,7.8,101,2006,"Commedia, Drammatico",548862,2006-09-22,"Jonathan Dayton,Valerie Faris","Steve Carell, Toni Collette, Greg Kinnear"
tt0086465,6,2021-12-26,Una poltrona per due,Trading Places,https://www.imdb.com/title/tt0086465,Film,7.5,116,1983,Commedia,177960,1984-01-19,John Landis,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy"
tt10872600,6,2021-12-26,Spider-Man: No Way Home,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600,Film,8.2,148,2021,"Azione, Avventura, Fantascienza, Fantastico",988992,2021-12-15,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch"
tt10293406,6,2021-12-19,Il potere del cane,The Power of the Dog,https://www.imdb.com/title/tt10293406,Film,6.8,126,2021,"Drammatico, Western",203344,2021-11-17,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons"
tt3228774,7,2021-12-08,Crudelia,Cruella,https://www.imdb.com/title/tt3228774,Film,7.3,134,2021,"Commedia, Poliziesco, Drammatico, Avventura",289467,2021-05-26,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry"
tt12680684,6,2021-12-08,È stata la mano di Dio,È stata la mano di Dio,https://www.imdb.com/title/tt12680684,Film,7.3,130,2021,Drammatico,53254,2021-11-24,Paolo Sorrentino,"Filippo Scotti, Toni Servillo, Teresa Saponangelo"
tt9376612,6,2021-12-04,Shang-Chi e la leggenda dei dieci anelli,Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612,Film,7.3,132,2021,"Azione, Avventura, Fantastico, Fantascienza",477881,2021-09-01,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung Chiu-wai"
tt4513678,7,2021-12-01,Ghostbusters: Legacy,Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678,Film,7.0,124,2021,"Commedia, Fantastico, Avventura, Fantascienza",237319,2021-11-18,Jason Reitman,"Carrie Coon, Paul Rudd, Finn Wolfhard"
tt0274497,7,2021-11-26,Le fate ignoranti,Le fate ignoranti,https://www.imdb.com/title/tt0274497,Film,7.3,106,2001,"Sentimentale, Drammatico",10695,2001-03-16,Ferzan Özpetek,"Margherita Buy, Stefano Accorsi, Serra Yilmaz"
tt0890885,6,2021-11-26,Saturno contro,Saturno contro,https://www.imdb.com/title/tt0890885,Film,6.7,106,2007,"Drammatico, Sentimentale",5224,2007-02-23,Ferzan Özpetek,"Stefano Accorsi, Margherita Buy, Pierfrancesco Favino"
