Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Main Actors
tt5040012,4,2025-01-26,Nosferatu,Nosferatu,https://www.imdb.com/title/tt5040012,Film,7.1,132,2024,"Horror, Fantastico, Giallo",248961,2025-01-01,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård"
tt6285944,6,2025-01-22,The Banker,The Banker,https://www.imdb.com/title/tt6285944,Film,7.3,120,2020,"Drammatico, Biografico",41515,2020-03-20,George Nolfi,"Anthony Mackie, Samuel L. Jackson, Nicholas Hoult"
tt32448428,6,2025-01-18,L'abbaglio,L'abbaglio,https://www.imdb.com/title/tt32448428,Film,6.6,131,2025,"Drammatico, Storico",693,2025-01-16,Roberto Andò,"Toni Servillo, Salvatore Ficarra, Valentino Picone"
tt22893404,6,2025-01-12,Maria,Maria,https://www.imdb.com/title/tt22893404,Film,6.4,124,2024,"Biografico, Drammatico, Musica",23673,2025-01-01,Pablo Larraín,"Angelina Jolie, Pierfrancesco Favino, Alba Rohrwacher"
tt32810496,6,2025-01-05,Diamanti,Diamanti,https://www.imdb.com/title/tt32810496,Film,6.7,135,2024,"Drammatico, Commedia",2191,2024-12-19,Ferzan Özpetek,"Luisa Ranieri, Jasmine Trinca, Stefano Accorsi"
tt14257582,6,2024-12-26,Wolfs - Lupi solitari,Wolfs,https://www.imdb.com/title/tt14257582,Film,6.5,108,2024,"Thriller, Poliziesco",96931,2024-09-27,Jon Watts,"George Clooney, Brad Pitt, Amy Ryan"
tt27995113,7,2024-12-25,Black Doves,Black Doves,https://www.imdb.com/title/tt27995113,Serie TV,7.2,55,2024,"Drammatico, Thriller, Azione, Giallo",71292,2024-12-05,,"Keira Knightley, Ben Whishaw, Sarah Lancashire"
tt21382296,6,2024-12-20,Carry-On,Carry-On,https://www.imdb.com/title/tt21382296,Film,6.5,119,2024,"Azione, Thriller, Poliziesco",184130,2024-12-13,Jaume Collet-Serra,"Taron Egerton, Jason Bateman, Sofia Carson"
tt27403986,7,2024-12-10,Giurato numero 2,Juror #2,https://www.imdb.com/title/tt27403986,Film,7.0,114,2024,"Thriller, Drammatico, Poliziesco, Giallo",118023,2024-11-14,Clint Eastwood,"Nicholas Hoult, Toni Collette, J.K. Simmons"
tt2119532,7,2024-12-07,La battaglia di Hacksaw Ridge,Hacksaw Ridge,https://www.imdb.com/title/tt2119532,Film,8.1,139,2016,"Drammatico, Guerra, Storico, Biografico",661248,2017-02-02,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey"
tt1424432,7,2024-12-03,Senna,Senna,https://www.imdb.com/title/tt1424432,Film,8.5,106,2010,"Documentario, Biografico, Sportivo",82925,2011-02-11,Asif Kapadia,"Ayrton Senna, Reginaldo Leme, John Bisignano"
tt1136617,6,2024-12-01,The Killer,The Killer,https://www.imdb.com/title/tt1136617,Film,6.7,118,2023,"Azione, Thriller, Poliziesco, Drammatico, Avventura",217790,2023-11-10,David Fincher,"Michael Fassbender, Tilda Swinton, Charles Parnell"
tt0087971,6,2024-11-27,Il ragazzo di campagna,Il ragazzo di campagna,https://www.imdb.com/title/tt0087971,Film,6.8,92,1984,Commedia,2654,1984-12-20,"Franco Castellano,Giuseppe Moccia","Renato Pozzetto, Massimo Serato, Enzo Cannavale"
tt0237572,7,2024-11-18,La promessa,The Pledge,https://www.imdb.com/title/tt0237572,Film,6.7,124,2001,"Poliziesco, Giallo, Thriller, Drammatico",75563,2001-10-19,Sean Penn,"Jack Nicholson, Benicio Del Toro, Patricia Clarkson"
tt15435876,7,2024-11-13,The Penguin,The Penguin,https://www.imdb.com/title/tt15435876,Mini serie TV,8.6,60,2024,"Poliziesco, Drammatico",220821,2024-09-20,,"Colin Farrell, Cristin Milioti, Rhenzy Feliz"
tt11426232,5,2024-11-06,Totally Killer,Totally Killer,https://www.imdb.com/title/tt11426232,Film,6.5,106,2023,"Commedia, Horror, Fantascienza, Giallo",66775,2023-10-06,Nahnatchka Khan,"Kiernan Shipka, Olivia Holt, Charlie Gillespie"
tt23853982,6,2024-11-01,Parthenope,Parthenope,https://www.imdb.com/title/tt23853982,Film,6.6,137,2024,"Drammatico, Fantastico",18298,2024-10-24,Paolo Sorrentino,"Celeste Dalla Porta, Stefania Sandrelli, Gary Oldman"
tt0074520,6,2024-10-31,Febbre da cavallo,Febbre da cavallo,https://www.imdb.com/title/tt0074520,Film,7.3,94,1976,Commedia,2436,1976-10-29,Steno,"Gigi Proietti, Enrico Montesano, Catherine Spaak"
tt0068646,10,2024-10-28,Il padrino,The Godfather,https://www.imdb.com/title/tt0068646,Film,9.2,175,1972,"Poliziesco, Drammatico",2182441,1972-09-21,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
tt0087843,9,2024-10-28,C'era una volta in America,C'era una volta in America,https://www.imdb.com/title/tt0087843,Film,8.3,229,1984,"Poliziesco, Drammatico",402967,1984-09-28,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern"
tt28618488,7,2024-10-19,Vermiglio,Vermiglio,https://www.imdb.com/title/tt28618488,Film,6.9,119,2024,"Drammatico, Storico",6276,2024-09-19,Maura Delpero,"Tommaso Ragno, Roberta Rovelli, Martina Scrinzi"
tt0118571,6,2024-10-17,Air Force One,Air Force One,https://www.imdb.com/title/tt0118571,Film,6.5,124,1997,"Drammatico, Poliziesco, Thriller, Azione",221243,1997-09-19,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close"
tt8760932,5,2024-10-16,Nove perfetti sconosciuti,Nine Perfect Strangers,https://www.imdb.com/title/tt8760932,Serie TV,6.9,50,2021,"Drammatico, Giallo, Thriller",72383,2021-08-20,,"Nicole Kidman, Melissa McCarthy, Aras Aydin"
tt31392065,6,2024-10-06,Federer: Twelve Final Days,Federer: Twelve Final Days,https://www.imdb.com/title/tt31392065,Film,7.3,88,2024,"Documentario, Sportivo, Biografico",4431,2024-06-20,"Asif Kapadia,Joe Sabia","Roger Federer, Mirka Federer, Leo Federer"
tt0448134,7,2024-09-30,Sunshine,Sunshine,https://www.imdb.com/title/tt0448134,Film,7.2,107,2007,"Fantascienza, Thriller",282484,2007-04-20,Danny Boyle,"Cillian Murphy, Rose Byrne, Chris Evans"
tt0071315,9,2024-09-23,Chinatown,Chinatown,https://www.imdb.com/title/tt0071315,Film,8.1,130,1974,"Drammatico, Thriller, Giallo",372126,1974-12-13,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston"
tt0046250,7,2024-09-22,Vacanze romane,Roman Holiday,https://www.imdb.com/title/tt0046250,Film,8.0,118,1953,"Commedia, Drammatico, Sentimentale",156416,1953-12-23,William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert"
tt0095705,7,2024-09-22,Una pallottola spuntata,The Naked Gun: From the Files of Police Squad!,https://www.imdb.com/title/tt0095705,Film,7.6,85,1988,"Poliziesco, Commedia",216178,1989-03-29,David Zucker,"Leslie Nielsen, Priscilla Presley, O.J. Simpson"
tt1683526,7,2024-09-17,Detachment - Il distacco,Detachment,https://www.imdb.com/title/tt1683526,Film,7.7,98,2011,Drammatico,109264,2012-06-22,Tony Kaye,"Adrien Brody, Christina Hendricks, Marcia Gay Harden"
tt4298958,7,2024-08-16,Le ricette della signora Toku,An,https://www.imdb.com/title/tt4298958,Film,7.4,113,2015,Drammatico,13865,2015-12-10,Naomi Kawase,"Kirin Kiki, Masatoshi Nagase, Kyara Uchida"
tt1197624,6,2024-08-12,Giustizia privata,Law Abiding Citizen,https://www.imdb.com/title/tt1197624,Film,7.4,109,2009,"Drammatico, Thriller, Poliziesco, Azione",340619,2010-08-25,F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb"
tt15655276,4,2024-08-12,Yara,Yara,https://www.imdb.com/title/tt15655276,Film,6.3,96,2021,"Poliziesco, Thriller, Drammatico",7352,2021-11-05,Marco Tullio Giordana,"Isabella Ragonese, Alessio Boni, Thomas Trabacchi"
tt22001304,6,2024-08-10,Adagio,Adagio,https://www.imdb.com/title/tt22001304,Film,6.6,127,2023,"Poliziesco, Azione, Thriller",3239,2023-12-14,Stefano Sollima,"Pierfrancesco Favino, Toni Servillo, Valerio Mastandrea"
tt22022452,6,2024-06-24,Inside Out 2,Inside Out 2,https://www.imdb.com/title/tt22022452,Film,7.5,96,2024,"Animazione, Avventura, Commedia, Drammatico, Per famiglie, Fantastico, Sportivo",237099,2024-06-19,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
